Year,country,Author(s),Title,Context,Methodology,Limitation,Key finding,APA reference,Website for access
2022,United Kingdom,"Rosemary Luckin, Mutlu Cukurova, Carmel Kent, Benedict du Boulay",Empowering educators to be AI-ready,,,,,"Luckin, R., Cukurova, M., Kent, C., & du Boulay, B. (2022). Empowering educators to be AI-ready. Computers and Education: Artificial Intelligence, 3, 100076. https://doi.org/10.1016/j.caeai.2022.100076 ",https://www.sciencedirect.com/science/article/pii/S2666920X22000315
2023,China,Hao Yu ,Reflection on whether Chat GPT should be banned by academia from the perspective of education and teaching ,,,,,"Yu, H. (2023). Reflection on whether chat GPT should be banned by academia from the perspective of education and teaching. Frontiers in Psychology, 14. https://doi.org/10.3389/fpsyg.2023.1181712 ",https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2023.1181712/full
2023,Japan,"Bonner, E., Lege, R., & Frazier, E. ",LARGE LANGUAGE MODEL-BASED ARTIFICIAL INTELLIGENCE IN THE LANGUAGE CLASSROOM: PRACTICAL IDEAS FOR TEACHING ,,,,,"Bonner, E., Lege, R., & Frazier, E. (2023). Large language model-based artificial intelligence in the language classroom: Practical ideas for teaching. Teaching English With Technology, 2023(1). https://doi.org/10.56297/bkam1691/wieo1749 ",https://www.ceeol.com/search/article-detail?id=1167809
2016,,"Michael Wollowski, Robert Selkowitz, Laura E. Brown, Ashok Goel, George Luger, Jim Marshall ,Andrew Neel, Todd Neller,Peter Norvig",A Survey of Current Practice and Teaching of AI ,,survey,,,"Wollowski, M., Selkowitz, R., Brown, L., Goel, A., Luger, G., Marshall, J., Neel, A., Neller, T., & Norvig, P. (2016). A survey of current practice and teaching of ai. Proceedings of the AAAI Conference on Artificial Intelligence, 30(1). https://doi.org/10.1609/aaai.v30i1.9857 ",https://ojs.aaai.org/index.php/AAAI/article/view/9857
2023,Bulgaria,Gabriela Kiryakova and Nadezhda Angelova,ChatGPT—A Challenging Tool for the University Professors in Their Teaching Practice,,,,,"Kiryakova, G., & Angelova, N. (2023). Chatgpt—a challenging tool for the university professors in their teaching practice. Education Sciences, 13(10), 1056. https://doi.org/10.3390/educsci13101056 ",https://www.mdpi.com/2227-7102/13/10/1056
,,Wang Xinghua,Preparing for AI-enhanced education: Conceptualizing and empirically examining teachers’ AI readiness ,,,,,"Wang, X., Li, L., Tan, S. C., Yang, L., & Lei, J. (2023). Preparing for AI-Enhanced Education: Conceptualizing and empirically examining teachers’ ai readiness. Computers in Human Behavior, 146, 107798. https://doi.org/10.1016/j.chb.2023.107798 ",https://www.sciencedirect.com/science/article/pii/S0747563223001498?casa_token=nL2NLXXsdPIAAAAA:gcE99j_6AQlUSENixjAcvhZh2SUPZ49k3i2iM_uapOwNJwzyR7J1NfhQr88TKU3KnTEcUHMFbMTx
2023,"Malaysia, Taiwan","Zong Yang Kong, Vincentius Kurnia Adi, Juan Gabriel Segivia-Hernandez, Jaka Sunarso",Complementary role of large language models in educating undergraduate design of distillation column: Methodology development ,,,,,"Kong, Z. Y., Adi, V. S., Segovia-Hernández, J. G., & Sunarso, J. (2023). Complementary role of large language models in educating undergraduate design of distillation column: Methodology development. Digital Chemical Engineering, 9, 100126. https://doi.org/10.1016/j.dche.2023.100126 ",https://www.sciencedirect.com/science/article/pii/S2772508123000443
2023,,"Punya Mishra, Melissa Warr, Rezwana Islam",TPACK in the age of ChatGPT and Generative AI,,,,,"Mishra, P., Warr, M., & Islam, R. (2023). TPACK in the age of ChatGPT and generative AI. Journal of Digital Learning in Teacher Education, 39(4), 235-251. https://doi.org/10.1080/21532974.2023.2247480",https://www.tandfonline.com/doi/full/10.1080/21532974.2023.2247480?casa_token=jzYPfQIHiEAAAAAA%3ANDhYnkB4SpRZ00IoxWBIADbx_USS7JliHtNp9ng3FI2QobVoajTkYFLqZkH92hSKvkag43RcUsaNvC4
2023,,"M. Avgerinou, Antonios Karampelas, Vassilia Stefanou",Building the Plane as We Fly It: Experimenting with GenAI for Scholarly Writing,,,,,"Avgerinou, M., Karampelas, A., & Stefanou, V. (2023). Building the Plane as We Fly It: Experimenting with GenAI for Scholarly Writing. Irish Journal of Technology Enhanced Learning. https://doi.org/10.22554/ijtel.v7i2.128.",https://journal.ilta.ie/index.php/telji/article/view/128
2023,,"Subash Neupane, Ivan A. Fernandez, Sudip Mittal, Shahram Rahimi",Impacts and Risk of Generative AI Technology on Cyber Defense,,,,,"Neupane, S., Fernandez, I., Mittal, S., & Rahimi, S. (2023). Impacts and Risk of Generative AI Technology on Cyber Defense. ArXiv, abs/2306.13033. https://doi.org/10.48550/arXiv.2306.13033.",https://arxiv.org/abs/2306.13033
2023,,"Yongquan Hu, Dawen Zhang, Aaron Quigley",GenAIR: Exploring Design Factor of Employing Generative AI for Augmented Reality,,,,,"Hu, Y., Zhang, D., & Quigley, A. (2023). GenAIR: Exploring Design Factor of Employing Generative AI for Augmented Reality. Proceedings of the 2023 ACM Symposium on Spatial User Interaction. https://doi.org/10.1145/3607822.3618018.",https://dl.acm.org/doi/abs/10.1145/3607822.3618018
2023,,Emilio Ferrara,GenAI Against Humanity: Nefarious Applications of Generative Artificial Intelligence and Large Language Models,,,,,"Ferrara, E. (2024). GenAI against humanity: Nefarious applications of generative artificial intelligence and large language models. Journal of Computational Social Science, 1-21.",https://link.springer.com/article/10.1007/s42001-024-00250-1
2023,,Yuxuan Huang,The Future of Generative AI: How GenAI Would Change Human-Computer Co-creation in the Next 10 to 15 Years,,,,,"Huang, Y. (2023). The Future of Generative AI: How GenAI Would Change Human-Computer Co-creation in the Next 10 to 15 Years. Companion Proceedings of the Annual Symposium on Computer-Human Interaction in Play. https://doi.org/10.1145/3573382.3616033.",https://dl.acm.org/doi/abs/10.1145/3573382.3616033
2023,,"Maanak Gupta, Charankumar Akiri, K. Aryal, Elisabeth Parker, Lopamudra Praharaj",From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,,,,,"Gupta, M., Akiri, C., Aryal, K., Parker, E., & Praharaj, L. (2023). From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy. IEEE Access, 11, 80218-80245. https://doi.org/10.1109/ACCESS.2023.3300381.",https://ieeexplore.ieee.org/abstract/document/10198233
2023,,"Jie Li, Hancheng Cao, Laura Lin, Youyang Hou, Ruihao Zhu, Abdallah El Ali",User Experience Design Professionals' Perceptions of Generative Artificial Intelligence,,,,,"Li, J., Cao, H., Lin, L., Hou, Y., Zhu, R., & Ali, A. (2023). User Experience Design Professionals' Perceptions of Generative Artificial Intelligence. ArXiv, abs/2309.15237. https://doi.org/10.48550/arXiv.2309.15237.",https://dl.acm.org/doi/full/10.1145/3613904.3642114
2023,,Hazel Farrell,Pseudo-Research: A Fabricated Study on Student Engagement in Music Pedagogy,,,,,"Farrell, H. (2023). Pseudo-Research: A Fabricated Study on Student Engagement in Music Pedagogy. Irish Journal of Technology Enhanced Learning. https://doi.org/10.22554/ijtel.v7i2.145.",https://journal.ilta.ie/index.php/telji/article/view/145
2023,,"Pethigamage Perera, M. Lankathilake",Preparing to Revolutionize Education with the Multi-Model GenAI Tool Google Gemini? A Journey towards Effective Policy Making,,,,,"Perera, P., & Lankathilake, M. (2023). Preparing to Revolutionize Education with the Multi-Model GenAI Tool Google Gemini? A Journey towards Effective Policy Making. Journal of Advances in Education and Philosophy. https://doi.org/10.36348/jaep.2023.v07i08.001.",https://acquire.cqu.edu.au/articles/journal_contribution/Preparing_to_Revolutionize_Education_with_the_Multi-Model_GenAI_Tool_Google_Gemini_A_Journey_towards_Effective_Policy_Making/26181833?file=47437514
2023,,Kim Taylor,Supporting students and educators in using generative artificial intelligence,,,,,"Taylor, K. (2023). Supporting students and educators in using generative artificial intelligence. ASCILITE Publications. https://doi.org/10.14742/apubs.2023.538.",https://publications.ascilite.org/index.php/APUB/article/view/538
2023,,Bonnie Stewart,GenAI on GenAI: Two Prompts for a Position Paper on What Educators Need to Know,,,,,"Stewart, B. (2023). GenAI on GenAI: Two Prompts for a Position Paper on What Educators Need to Know. Irish Journal of Technology Enhanced Learning. https://doi.org/10.22554/ijtel.v7i2.140.",https://journal.ilta.ie/index.php/telji/article/view/140
2023,,"Jackie Potter, Katharine Welsh, Laura Milne",Evaluating an institutional response to Generative Artificial Intelligence (GenAI): Applying Kotter’s change model and sharing lessons learned for educational development,,,,,"Potter, J., Welsh, K., & Milne, L. (2023). Evaluating an institutional response to Generative Artificial Intelligence (GenAI): Applying Kotter’s change model and sharing lessons learned for educational development. Journal of Perspectives in Applied Academic Practice. https://doi.org/10.56433/jpaap.v11i3.582.",https://jpaap.ac.uk/JPAAP/article/view/582
2023,,Aodán Farrelly,Having a ‘Chat’ about Hybrid and HyFlex,,,,,"Farrelly, A. (2023). Having a ‘Chat’ about Hybrid and HyFlex. Irish Journal of Technology Enhanced Learning. https://doi.org/10.22554/ijtel.v7i2.151.",https://journal.ilta.ie/index.php/telji/article/view/151
2023,,"Ethan Dickey, Andrés M. Bejarano, Chirayu Garg",Innovating Computer Programming Pedagogy: The AI-Lab Framework for Generative AI Adoption,,,,,"Dickey, E., Bejarano, A., & Garg, C. (2023). Innovating Computer Programming Pedagogy: The AI-Lab Framework for Generative AI Adoption. ArXiv, abs/2308.12258. https://doi.org/10.48550/arXiv.2308.12258.",https://arxiv.org/abs/2308.12258
2023,,"J. Prather, Paul Denny, Juho Leinonen, Brett A. Becker, Ibrahim Albluwi, Michelle Craig, H. Keuning, Natalie Kiesler, Tobias Kohn, Andrew Luxton-Reilly, Stephen MacNeil, Andrew Petersen, Raymond Pettit, Brent N. Reeves, Jaromír Šavelka",The Robots Are Here: Navigating the Generative AI Revolution in Computing Education,,,,,"Prather, J., Denny, P., Leinonen, J., Becker, B., Albluwi, I., Craig, M., Keuning, H., Kiesler, N., Kohn, T., Luxton-Reilly, A., MacNeil, S., Petersen, A., Pettit, R., Reeves, B., & Šavelka, J. (2023). The Robots Are Here: Navigating the Generative AI Revolution in Computing Education. Proceedings of the 2023 Working Group Reports on Innovation and Technology in Computer Science Education. https://doi.org/10.1145/3623762.3633499.",https://dl.acm.org/doi/abs/10.1145/3623762.3633499
2023,,"Ethan Dickey, Andrés M. Bejarano",A Model for Integrating Generative AI into Course Content Development,,,,,"Dickey, E., & Bejarano, A. (2023). A Model for Integrating Generative AI into Course Content Development. ArXiv, abs/2308.12276. https://doi.org/10.48550/arXiv.2308.12276.",https://arxiv.org/abs/2308.12276
2023,,"Anderson, Olivia S.
Laubepin, Frederique A.
August, Ella T.",Public Health Students and Instructors Weigh in on Generative Artificial Intelligence: Are They on the Same Page?,,,,,"Anderson OS, Laubepin FA, August ET. Public Health Students and Instructors Weigh in on Generative Artificial Intelligence: Are They on the Same Page? Pedagogy in Health Promotion. 2024;10(3):170-177. doi:10.1177/23733799241246954",https://journals.sagepub.com/doi/abs/10.1177/23733799241246954
2024,,"Hostetter, Autumn B.
Call, Natalie
Frazier, Grace
James, Tristan
Linnertz, Cassandra
Nestle, Elizabeth
Tucci, Miaflora",Student and Faculty Perceptions of Generative Artificial Intelligence in Student Writing.,,,,,"Hostetter, A. B., Call, N., Frazier, G., James, T., Linnertz, C., Nestle, E., & Tucci, M. (2024). Student and Faculty Perceptions of Generative Artificial Intelligence in Student Writing. Teaching of Psychology, 0(0). https://doi.org/10.1177/00986283241279401",https://journals.sagepub.com/doi/abs/10.1177/00986283241279401
2021,,"Youmei Wang
Chenchen Liu
Yun-Fang Tu",Factors Affecting the Adoption of AI-Based Applications in Higher Education: An Analysis of Teachers' Perspectives Using Structural Equation Modeling.,,,,,"Youmei Wang, Chenchen Liu, & Yun-Fang Tu. (2021). Factors Affecting the Adoption of AI-Based Applications in Higher Education: An Analysis of Teachers’ Perspectives Using Structural Equation Modeling. Educational Technology & Society, 24(3), 116–129.",https://www.jstor.org/stable/27032860
2024,,"Sanders, Debbie A.
Mukhari, Shirley S.",Lecturers' perceptions of the influence of AI on a blended learning approach in a South African higher education institution.,,,,,"Sanders, D. A., & Mukhari, S. S. (2024). Lecturers’ perceptions of the influence of AI on a blended learning approach in a South African higher education institution. Discover Education, 3(1), 1–18. https://doi-org.libproxy.nie.edu.sg/10.1007/s44217-024-00235-2",https://link.springer.com/article/10.1007/s44217-024-00235-2
2024,,Jim Marquardson,Embracing Artificial Intelligence to Improve Self-Directed Learning: A Cybersecurity Classroom Study,,,,,"Jim Marquardson. (2024). Embracing Artificial Intelligence to Improve Self-Directed Learning: A Cybersecurity Classroom Study. Information Systems Education Journal, 22(1), 4–13.",https://eric.ed.gov/?id=EJ1417288
2023,,"Micheal M. van Wyk 
Michael Agyemang Adarkwah 
Samuel Amponsah ",Why All the Hype about ChatGPT? Academics' Views of a Chat-Based Conversational Learning Strategy at an Open Distance e-Learning Institution,,,,,"Micheal M. van Wyk, Michael Agyemang Adarkwah, & Samuel Amponsah. (2023). Why All the Hype about ChatGPT? Academics’ Views of a Chat-Based Conversational Learning Strategy at an Open Distance e-Learning Institution. Open Praxis, 15(3), 214–225.",https://search.informit.org/doi/abs/10.3316/informit.378033000103803
2023,,"Cheng, Ying
Boyraz, Maggie
Taylor, Julie L.
Gilbert, Rosemarie",Investigating College Students' and Instructors' Perspectives on Adopting Technologies for Public Speaking Skills Development in a Hispanic Serving University,,,,,"Cheng, Y., Boyraz, M., Taylor, J. L., & Gilbert, R. (2023). Investigating College Students’ and Instructors’ Perspectives on Adopting Technologies for Public Speaking Skills Development in a Hispanic Serving University. International Journal of Education and Development Using Information and Communication Technology, 19(1), 80–101.",https://eric.ed.gov/?id=EJ1391539
2024,,"Punya Mishra
Nicole Oster
Danah Henriksen","Generative AI, Teacher Knowledge and Educational Research: Bridging Short- and Long-Term Perspectives",,,,,"Mishra, P., Oster, N., & Henriksen, D. (2024). Generative AI, teacher knowledge and educational research: Bridging short- and long-term perspectives. TechTrends, 68(2), 205–210. https://doi.org/10.1007/s11528-024-00938-1 ",https://link.springer.com/article/10.1007/s11528-024-00938-1
2023,,"Chan, Cecilia Ka Yuk 
Lee, Katherine K. W.",The AI Generation Gap: Are Gen Z Students More Interested in Adopting Generative AI Such as ChatGPT in Teaching and Learning than Their Gen X and Millennial Generation Teachers?,,,,,"Chan, C. K., & Lee, K. K. (2023). The Ai Generation Gap: Are Gen Z students more interested in adopting generative ai such as chatgpt in teaching and learning than their gen X and millennial generation teachers? Smart Learning Environments, 10(1). https://doi.org/10.1186/s40561-023-00269-3 ",https://link.springer.com/article/10.1186/s40561-023-00269-3
2024,,"Ngo Cong-Lem
Tin Nghi Tran
Tat Thang Nguyen",Academic Integrity in the Age of Generative AI: Perceptions and Responses of Vietnamese EFL Teachers,,,,,"Cong-Lem, N., Tran, T. N., & Nguyen, T. T. (2024). Academic integrity in the age of generative AI: Perceptions and responses of Vietnamese EFL teachers. Teaching English With Technology, 2024(1). https://doi.org/10.56297/fsyb3031/mxnb7567 ",https://www.ceeol.com/search/article-detail?id=1219416
2024,,Amr M. Moham,Exploring the Potential of an AI-Based Chatbot (ChatGPT) in Enhancing English as a Foreign Language (EFL) Teaching: Perceptions of EFL Faculty Members,,,,,"Mohamed, A. M. (2023). Exploring the potential of an AI-based chatbot (CHATGPT) in enhancing English as a foreign language (EFL) teaching: Perceptions of EFL faculty members. Education and Information Technologies, 29(3), 3195–3217. https://doi.org/10.1007/s10639-023-11917-z ",https://link.springer.com/article/10.1007/s10639-023-11917-z
2024,,Anas Husain,Potentials of ChatGPT in Computer Programming: Insights from Programming Instructors,,,,,"Husain, A. (2024). Potentials of chatgpt in computer programming: Insights From Programming instructors. Journal of Information Technology Education: Research, 23, 002. https://doi.org/10.28945/5240 ",https://www.informingscience.org/Publications/5240?Type=JournalArticles&JournalID=4&Volume=-
2023,,"Lizhen Shi
Arshad Muhammad Umer
Yanting Shi",Utilizing AI Models to Optimize Blended Teaching Effectiveness in College-Level English Education,,,,,"Shi, L., Muhammad Umer, A., & Shi, Y. (2023). Utilizing AI models to optimize blended teaching effectiveness in college-level English education. Cogent Education, 10(2). https://doi.org/10.1080/2331186x.2023.2282804 ",https://www.tandfonline.com/doi/full/10.1080/2331186X.2023.2282804
2024,,"Julio-César Mateus 
Nohemi Lugo 
Giancarlo Cappello
Mar Guerrero-Pico","Communication Educators Facing the Arrival of Generative Artificial Intelligence: Exploration in Mexico, Peru, and Spain",,,,,"Mateus, J.-C., Cappello, G., Lugo, N., & Guerrero-Pico, M. (2024). Communication educators facing the arrival of Generative  Artificial Intelligence: Exploration in Mexico, Peru, and Spain. Digital Education Review, (45), 106–114. https://doi.org/10.1344/der.2024.45.106-114 ",https://revistes.ub.edu/index.php/der/article/view/46258
2022,,"Schroeder, Kersten T.
Hubertz, Martha
Van Campenhout, Rachel
Johnson, Benny G.",Teaching and Learning with AI-Generated Courseware: Lessons from the Classroom,,,,,"Schroeder, K. T., Hubertz, M., Van Campenhout, R., & Johnson, B. G. (2022). Teaching and learning with AI-generated courseware: Lessons from the classroom. Online Learning, 26(3). https://doi.org/10.24059/olj.v26i3.3370 ",https://eric.ed.gov/?id=EJ1374315
2024,,"Noureldin Mohamed Abdelaal
Islam Al Sawi","Perceptions, Challenges, and Prospects: University Professors' Use of Artificial Intelligence in Education",,,,,"Abdelaal, N., & Al Sawy, I. (2024). Perceptions, challenges, and prospects: University Professors’ use of Artificial Intelligence in Education. Australian Journal of Applied Linguistics, 7(1), 1–24. https://doi.org/10.29140/ajal.v7n1.1309 ",https://eric.ed.gov/?id=EJ1425147
2022,,"Verma, Shivani, . 
Tomar, Pradeep, ","Impact of AI technologies on teaching, learning, and research in higher education.",,,,,"Tomar, P., & Verma, S. (2021). Impact and role of AI Technologies in teaching, learning, and research in Higher Education. Advances in Educational Technologies and Instructional Design, 190–203. https://doi.org/10.4018/978-1-7998-4763-2.ch012 ","https://books.google.com.sg/books?hl=en&lr=&id=QLkIEAAAQBAJ&oi=fnd&pg=PR1&dq=Impact+of+AI+technologies+on+teaching,+learning,+and+research+in+higher+education.&ots=d6cRhfdgi0&sig=J3fVB9eUNwDQT5-szt5KZ1ByhBc&redir_esc=y#v=onepage&q=Impact%20of%20AI%20technologies%20on%20teaching%2C%20learning%2C%20and%20research%20in%20higher%20education.&f=false"
2024,,"Cabero-Almenara, Julio
Palacios-Rodríguez, 
Loaiza-Aguirre, María Isabel
Rivas-Manzano, María del Rosario de ",Acceptance of Educational Artificial Intelligence by Teachers and Its Relationship with Some Variables and Pedagogical Beliefs.,,,,,"Cabero-Almenara, J., Palacios-Rodríguez, A., Loaiza-Aguirre, M. I., & Rivas-Manzano, M. del. (2024). Acceptance of educational artificial intelligence by teachers and its relationship with some variables and pedagogical beliefs. Education Sciences, 14(7), 740. https://doi.org/10.3390/educsci14070740 ",https://www.researchgate.net/profile/Antonio-Palacios-Rodriguez/publication/382089000_Acceptance_of_Educational_Artificial_Intelligence_by_Teachers_and_Its_Relationship_with_Some_Variables_and_Pedagogical_Beliefs/links/668f9d9ac1cf0d77ffcc06b0/Acceptance-of-Educational-Artificial-Intelligence-by-Teachers-and-Its-Relationship-with-Some-Variables-and-Pedagogical-Beliefs.pdf
2023,,"Holmes, Wayne
Iniesto, Francisco
Anastopoulou, Stamatina
Boticario, Jesus G.",Stakeholder Perspectives on the Ethics of AI in Distance-Based Higher Education,,,,,"Holmes, W., Iniesto, F., Anastopoulou, S., & Boticario, J. G. (2023). Stakeholder perspectives on the ethics of AI in distance-based Higher Education. The International Review of Research in Open and Distributed Learning, 24(2), 96–117. https://doi.org/10.19173/irrodl.v24i2.6089 ",https://www.erudit.org/en/journals/irrodl/2023-v24-n2-irrodl08120/1100750ar/abstract/
2024,,"Manar Hazaimeh
Abdullah M. Al-Ansi",Model of AI Acceptance in Higher Education: Arguing Teaching Staff and Students Perspectives,,,,,"Hazaimeh, M., & Al-Ansi, A. M. (2024). Model of AI acceptance in Higher Education: Arguing teaching staff and students perspectives. The International Journal of Information and Learning Technology, 41(4), 371–393. https://doi.org/10.1108/ijilt-01-2024-0005 ",https://www.emerald.com/insight/content/doi/10.1108/IJILT-01-2024-0005/full/html?casa_token=9nf37j71E4oAAAAA:JPdPrJl-W4Q5qG7XNenvC9fGncjhsKNpzOfclVknyLNxI1m0df82GLr7gGeKyiMuXWStNtdwwX-iGxQQPhwRKnX9FXIogC5NhYTBmEr-iuMFXkLvVP7M1w
