Year,country,Author(s),Title,Context,Methodology,Limitation,Key finding,APA reference,Website for access
2024,India,"Genimon Vadakkemulanjanal Joseph 
P. Athira 
M. Anit Thomas
Dawn Jose 
Therese V. Roy 
Malavika Prasad ","Impact of Digital Literacy, Use of AI Tools and Peer Collaboration on AI Assisted Learning: Perceptions of the University Students",,,,,"Genimon Vadakkemulanjanal Joseph, P. Athira, M. Anit Thomas, Dawn Jose, Therese V. Roy, & Malavika Prasad. (2024). Impact of Digital Literacy, Use of AI Tools and Peer Collaboration on AI Assisted Learning: Perceptions of the University Students. Digital Education Review, 45, 43–49.",https://web-p-ebscohost-com.libproxy.nie.edu.sg/ehost/detail/detail?vid=0&sid=af2aff23-dbc9-4920-9aeb-54097d3d4691%40redis&bdata=JnNpdGU9ZWhvc3QtbGl2ZSZzY29wZT1zaXRl#AN=EJ1434328&db=eric
2024,,"Sheri Grotrian
Lisa Parriott
Brad Griffin
Brady Woerth
Wyatt Rowell",Student Perceptions of ChatGPT and New AI Tools,,,,,"Sheri Grotrian, Lisa Parriott, Brad Griffin, Brady Woerth, & Wyatt Rowell. (2024). Student Perceptions of ChatGPT and New AI Tools. Educational Research: Theory and Practice, 35(2), 27–30.",https://web-p-ebscohost-com.libproxy.nie.edu.sg/ehost/detail/detail?vid=0&sid=f725d16f-16da-40e5-b2c5-ace99013aa73%40redis&bdata=JnNpdGU9ZWhvc3QtbGl2ZSZzY29wZT1zaXRl#AN=EJ1434347&db=eric
2024,,"Dongmin Ma
Huma Akram
I-Hua Chen",Artificial Intelligence in Higher Education: A Cross- Cultural Examination of Students’ Behavioral Intentions and Attitudes.,,,,,"Dongmin Ma, Huma Akram, & I-Hua Chen. (2024). Artificial Intelligence in Higher Education: A Cross- Cultural Examination of Students’ Behavioral Intentions and Attitudes. International Review of Research in Open & Distributed Learning, 25(3), 134–157. https://doi-org.libproxy.nie.edu.sg/10.19173/irrodl.v25i3.7703",https://web-p-ebscohost-com.libproxy.nie.edu.sg/ehost/detail/detail?vid=0&sid=265b909a-5b5a-412c-b310-c7dd7165dde1%40redis&bdata=JnNpdGU9ZWhvc3QtbGl2ZSZzY29wZT1zaXRl#AN=179346088&db=esu
2024,China,"Chai, Fangyuan.
Ma, Jiajia. 
Wang, Yi. 
Zhu, Jun.
Han, Tingting.",Grading by AI makes me feel fairer? How different evaluators affect college students’ perception of fairness.,,,,,"Chai, F., Ma, J., Wang, Y., Zhu, J., & Han, T. (2024). Grading by AI makes me feel fairer? How different evaluators affect college students’ perception of fairness. Frontiers in Psychology, 15. https://doi-org.libproxy.nie.edu.sg/10.3389/fpsyg.2024.1221177",https://web-p-ebscohost-com.libproxy.nie.edu.sg/ehost/detail/detail?vid=0&sid=265b909a-5b5a-412c-b310-c7dd7165dde1%40redis&bdata=JnNpdGU9ZWhvc3QtbGl2ZSZzY29wZT1zaXRl#AN=179346088&db=esu
2022,Malaysia,"Neo, Mai",The Merlin Project: Malaysian Students' Acceptance of an AI Chatbot in Their Learning Process,,,,,"Neo, M. (2022). The Merlin Project: Malaysian Students’ Acceptance of an AI Chatbot in Their Learning Process. Turkish Online Journal of Distance Education, 23(3), 31–48.",https://web-p-ebscohost-com.libproxy.nie.edu.sg/ehost/detail/detail?vid=0&sid=64ad2628-ad2d-4791-b72a-711995f2a6ce%40redis&bdata=JnNpdGU9ZWhvc3QtbGl2ZSZzY29wZT1zaXRl#AN=EJ1345395&db=eric
2023,,"Almaraz-López, Cristina
Almaraz-Menéndez, Fernando
López-Esteban, Carmen",Comparative Study of the Attitudes and Perceptions of University Students in Business Administration and Management and in Education toward Artificial Intelligence.,,,,,"Almaraz-López, C., Almaraz-Menéndez, F., & López-Esteban, C. (2023). Comparative Study of the Attitudes and Perceptions of University Students in Business Administration and Management and in Education toward Artificial Intelligence. Education Sciences, 13(6), 609. https://doi-org.libproxy.nie.edu.sg/10.3390/educsci13060609",https://web-p-ebscohost-com.libproxy.nie.edu.sg/ehost/detail/detail?vid=0&sid=b6b81a7f-7aa4-4a55-abe0-743f0ce7db5c%40redis&bdata=JnNpdGU9ZWhvc3QtbGl2ZSZzY29wZT1zaXRl#AN=164613653&db=esu
2023,,"Wang, Faming
King, Ronnel B.
Chai, Ching Sing
Zhou, Ying",University students' intentions to learn artificial intelligence: the roles of supportive environments and expectancy–value beliefs.,,,,,"Wang, F., King, R. B., Chai, C. S., & Zhou, Y. (2023). University students’ intentions to learn artificial intelligence: the roles of supportive environments and expectancy–value beliefs. International Journal of Educational Technology in Higher Education, 20(1), 1–21. https://doi-org.libproxy.nie.edu.sg/10.1186/s41239-023-00417-2",https://web-p-ebscohost-com.libproxy.nie.edu.sg/ehost/detail/detail?vid=0&sid=a0b805e6-8202-419e-aa00-fecaf415dc12%40redis&bdata=JnNpdGU9ZWhvc3QtbGl2ZSZzY29wZT1zaXRl#AN=170041139&db=esu
2024,Italy,"Treglia, Eugenia
Tomassoni, Rosella",CREATIVITY AND GENERATIVE AI IN EDUCATIONAL CONTEXTS: CHALLENGES AND FUTURE SCENARIOS. SURVEY ON THE PERCEPTIONS OF STUDENTS AND TEACHERS.,,,,,"Treglia, E., & Tomassoni, R. (2024). Creativity and Generative Ai in Educational Contexts: Challenges and Future Scenarios. Survey on the Perceptions of Students and Teachers. Italian Journal of Health Education, Sport & Inclusive Didactics, 8(2), 388–401. https://doi-org.libproxy.nie.edu.sg/10.32043/gsd.v8i2.1147",https://web-p-ebscohost-com.libproxy.nie.edu.sg/ehost/detail/detail?vid=0&sid=29ccc91f-a18e-4c46-815a-638a6b64bb2b%40redis&bdata=JnNpdGU9ZWhvc3QtbGl2ZSZzY29wZT1zaXRl#AN=178495750&db=esu
2022,,"Chen, Huan
Li, You
Wang, Ye
Lee, Yugyung
Petri, Alexis
Cha, Teryn",Computer Science and Communication Students' Perceptions of AI-Integration in Learning: A Case Study of OCEL.AI,,,,,"Chen, H., Li, Y., Wang, Y., Lee, Y., Petri, A., & Cha, T. (2022). Computer Science and Communication Students’ Perceptions of AI-Integration in Learning: A Case Study of OCEL.AI. Journal of Ethnographic & Qualitative Research, 16(4), 259–274. https://doi-org.libproxy.nie.edu.sg/https://www.jeqr.org/abstracts-from-previous-volumes",https://web-p-ebscohost-com.libproxy.nie.edu.sg/ehost/detail/detail?vid=0&sid=5c66fb11-027b-412d-b2c9-de128f0540a8%40redis&bdata=JnNpdGU9ZWhvc3QtbGl2ZSZzY29wZT1zaXRl#AN=EJ1374900&db=eric
2024,Croatia,"Krecar, Irena Miljkovic
Kolega, Maja
Jurcec, Lana",Perception of ChatGPT Usage for Homework Assignments: Students' and Professors' Perspectives.,,,,,"Krecar, I. M., Kolega, M., & Jurcec, L. (2024). Perception of ChatGPT Usage for Homework Assignments: Students’ and Professors’ Perspectives. IAFOR Journal of Education, 12(2), 33–60.",https://web-p-ebscohost-com.libproxy.nie.edu.sg/ehost/detail/detail?vid=0&sid=4bc0ded0-db83-41cb-a015-b5f0bccb1f5a%40redis&bdata=JnNpdGU9ZWhvc3QtbGl2ZSZzY29wZT1zaXRl#AN=179776182&db=esu
