Year,country,Author(s),Title,Context,Methodology,Limitation,Key finding,APA reference,Website for access,,,,,,,,,,
2021,,"S.Suseelaa, S.Aishwaryab, C.Akalyac, B.Ramyad , T.Sameera Banue",Artificial Intelligence based CHATBOT for PMIST websites,,,,,,,,,,,,,,,,
2021,,"Walter Rodriguez,
 Patricia Angle, Michele Snyder,",Can Machine Learning Enhance Human Learning in Times of Disruption?,,,,,,,,,,,,,,,,
2022,,Stefan Sonderegger,HOW GENERATIVE LANGUAGE MODELS CAN ENHANCE INTERACTIVE LEARNING WITH SOCIAL ROBOTS,,,,,,,,,,,,,,,,
2023,,"Hao Yu, Yunyun Guo","Generative artificial intelligence empowers educational reform: current status, issues, and prospects",,,,,,,,,,,,,,,,
2023,,"Alaa Abd-alrazaq, Rawan AlSaad, Dari Alhuwail; Arfan Ahmed; Padraig Mark Healy; Syed Latifi; Sarah Aziz; Rafat Damseh; Sadam Alabed Alrazak; Javaid Sheikh","Large Language Models in Medical Education: Opportunities, Challenges, and Future Directions",,,,,,,,,,,,,,,,
2023,,"Konstantinos I. Roumeliotis, Nikolaos D. Tselikas",ChatGPT and Open-AI Models: A Preliminary Review,,,,,,,,,,,,,,,,
2023,,Simone Grassini,Shaping the Future of Education: Exploring the Potential and Consequences of AI and ChatGPT in Educational Settings,,,,,,,,,,,,,,,,
2022,,"Kleopatra Mageira, Dimitra Pittou , Andreas Papasalouros , Konstantinos Kotis , Paraskevi Zangogianni and Athanasios Daradoumis",Educational AI Chatbots for Content and Language Integrated Learning,,,,,,,,,,,,,,,,
2023,,"Lena Ivannova Ruiz-Rojas, Patricia Acosta-Vargas , Javier De-Moreta-Llovet and Mario Gonzalez-Rodriguez",Empowering Education with Generative Artificial Intelligence Tools: Approach with an Instructional Design Matri,,,,,,,,,,,,,,,,
2023,HK,"Jiahong Su, Weipeng Yang",Unlocking the Power of ChatGPT: A Framework for Applying Generative AI in Education,,,,,,,,,,,,,,,,
