Number,Year,country,Author(s),Title,Abstract,Context,Methodology,Limitation,Key finding,APA reference,Website for access,,,,,,,,,,,,,
1,2024,,"Sanders, Debbie A.
Mukhari, Shirley S.",Lecturers' perceptions of the influence of AI on a blended learning approach in a South African higher education institution.,This study explores lecturers' perspectives on the impact of artificial intelligence (AI) on blended learning within South African higher education. It examines how AI integration influences teaching practices and the challenges faced during implementation.,"The research was conducted in a South African higher education institution, focusing on lecturers' experiences with AI in blended learning environments.","A qualitative case study approach was employed, involving semi-structured focus group interviews with 15 lecturers from the College of Education. Document analysis of course materials and teaching methods complemented the interviews.","The study's findings are based on a single institution and a limited sample size, which may affect the generalizability of the results.","Successful AI integration in blended learning requires robust management support, enhanced training opportunities, reliable technological infrastructure, and sufficient time allocation for lecturers.","Sanders, D. A., & Mukhari, S. S. (2024). Lecturers’ perceptions of the influence of AI on a blended learning approach in a South African higher education institution. Discover Education, 3(1), 1–18. https://doi-org.libproxy.nie.edu.sg/10.1007/s44217-024-00235-2",https://link.springer.com/article/10.1007/s44217-024-00235-2,,,,,,,,,,,,,
2,2024,,Jim Marquardson,Embracing Artificial Intelligence to Improve Self-Directed Learning: A Cybersecurity Classroom Study,"The study explores how ChatGPT 3.5 supports self-directed learning in a cybersecurity course, highlighting its usefulness without academic integrity concerns.",Capstone cybersecurity course focusing on AI-assisted learning.,Practical application with student feedback and outcome analysis.,Limited to a single course and specific AI tool.,AI tools enhance self-directed learning when students are well-trained.,"Jim Marquardson. (2024). Embracing Artificial Intelligence to Improve Self-Directed Learning: A Cybersecurity Classroom Study. Information Systems Education Journal, 22(1), 4–13.",https://eric.ed.gov/?id=EJ1417288,,,,,,,,,,,,,
3,2024,,"Ngo Cong-Lem
Tin Nghi Tran
Tat Thang Nguyen",Academic Integrity in the Age of Generative AI: Perceptions and Responses of Vietnamese EFL Teachers,This study examines Vietnamese EFL teachers' perceptions and responses to academic integrity challenges posed by generative AI tools like ChatGPT. It identifies causes of AI-based plagiarism and suggests pedagogical strategies to address these issues.,"Vietnamese higher education, focusing on English as a Foreign Language (EFL) instruction.",Open-ended survey of 31 Vietnamese EFL teachers.,Small sample size and focus on a specific educational context may limit generalizability.,"Teachers attribute AI-driven plagiarism to a lack of original ideas and poor learning attitudes. They advocate for increased regulations, AI-based plagiarism detectors, and education on responsible AI use.","Cong-Lem, N., Tran, T. N., & Nguyen, T. T. (2024). Academic integrity in the age of generative AI: Perceptions and responses of Vietnamese EFL teachers. Teaching English With Technology, 2024(1). https://doi.org/10.56297/fsyb3031/mxnb7567 ",https://files.eric.ed.gov/fulltext/EJ1417822.pdf,,,,,,,,,,,,,
4,2024,,Anas Husain,Potentials of ChatGPT in Computer Programming: Insights from Programming Instructors,"Explores programming instructors' views on ChatGPT's role in teaching programming, highlighting benefits and challenges.",IT faculty at AL al-Bayt University.,Qualitative interviews with 12 instructors.,Single institution and small sample size.,ChatGPT aids programming instruction but requires careful application.,"Husain, A. (2024). Potentials of chatgpt in computer programming: Insights From Programming instructors. Journal of Information Technology Education: Research, 23, 002. https://doi.org/10.28945/5240 ",https://www.informingscience.org/Publications/5240?Type=JournalArticles&JournalID=4&Volume=-,,,,,,,,,,,,,
5,2024,,"Julio-César Mateus 
Nohemi Lugo 
Giancarlo Cappello
Mar Guerrero-Pico","Communication Educators Facing the Arrival of Generative Artificial Intelligence: Exploration in Mexico, Peru, and Spain","Examines communication educators' views on Generative AI in Mexico, Peru, and Spain, highlighting challenges and opportunities.",Higher education in communication studies across three countries.,Qualitative interviews with educators.,Focused on specific regions and disciplines.,AI requires training and institutional support for effective integration.,"Mateus, J.-C., Cappello, G., Lugo, N., & Guerrero-Pico, M. (2024). Communication educators facing the arrival of Generative  Artificial Intelligence: Exploration in Mexico, Peru, and Spain. Digital Education Review, (45), 106–114. https://doi.org/10.1344/der.2024.45.106-114 ",https://revistes.ub.edu/index.php/der/article/view/46258,,,,,,,,,,,,,
6,2024,,"Noureldin Mohamed Abdelaal
Islam Al Sawi","Perceptions, Challenges, and Prospects: University Professors' Use of Artificial Intelligence in Education","Explores university professors' views on AI in education, highlighting familiarity, benefits, challenges, and perceived threats.",Surveyed 65 professors from various Egyptian universities.,Quantitative analysis of survey responses.,Limited to Egyptian institutions; may not reflect global perspectives.,"Professors recognize AI's educational value but express concerns about data privacy, implementation costs, and potential dehumanization of teaching.","Abdelaal, N., & Al Sawy, I. (2024). Perceptions, challenges, and prospects: University Professors’ use of Artificial Intelligence in Education. Australian Journal of Applied Linguistics, 7(1), 1–24. https://doi.org/10.29140/ajal.v7n1.1309 ",https://eric.ed.gov/?id=EJ1425147,,,,,,,,,,,,,
7,2024,,"Cabero-Almenara, Julio
Palacios-Rodríguez, 
Loaiza-Aguirre, María Isabel
Rivas-Manzano, María del Rosario de ",Acceptance of Educational Artificial Intelligence by Teachers and Its Relationship with Some Variables and Pedagogical Beliefs.,"Investigates teachers' acceptance of educational AI and its correlation with variables like age, gender, and pedagogical beliefs.","Surveyed 425 teachers at Universidad Técnica Particular de Loja, Ecuador.",Applied the UTAUT2 model to assess factors influencing AI acceptance.,Focuses on a single institution; results may not generalize broadly.,"High AI acceptance among teachers, influenced by demographic factors and teaching modalities.","Cabero-Almenara, J., Palacios-Rodríguez, A., Loaiza-Aguirre, M. I., & Rivas-Manzano, M. del. (2024). Acceptance of educational artificial intelligence by teachers and its relationship with some variables and pedagogical beliefs. Education Sciences, 14(7), 740. https://doi.org/10.3390/educsci14070740 ",https://www.researchgate.net/profile/Antonio-Palacios-Rodriguez/publication/382089000_Acceptance_of_Educational_Artificial_Intelligence_by_Teachers_and_Its_Relationship_with_Some_Variables_and_Pedagogical_Beliefs/links/668f9d9ac1cf0d77ffcc06b0/Acceptance-of-Educational-Artificial-Intelligence-by-Teachers-and-Its-Relationship-with-Some-Variables-and-Pedagogical-Beliefs.pdf,,,,,,,,,,,,,
8,2024,Arab countries,"Manar Hazaimeh
Abdullah M. Al-Ansi",Model of AI Acceptance in Higher Education: Arguing Teaching Staff and Students Perspectives,"Explores AI acceptance in Arab higher education, examining attitudes, competencies, and openness to experience among staff and students.",Arab higher education institutions.,"Survey of 1,152 participants; data analyzed using PLS-SEM.",Focused on the Arab region; findings may not generalize globally.,"Positive attitudes, digital skills, and openness drive AI acceptance.","Hazaimeh, M., & Al-Ansi, A. M. (2024). Model of AI acceptance in Higher Education: Arguing teaching staff and students perspectives. The International Journal of Information and Learning Technology, 41(4), 371–393. https://doi.org/10.1108/ijilt-01-2024-0005 ",https://www.emerald.com/insight/content/doi/10.1108/IJILT-01-2024-0005/full/html?casa_token=9nf37j71E4oAAAAA:JPdPrJl-W4Q5qG7XNenvC9fGncjhsKNpzOfclVknyLNxI1m0df82GLr7gGeKyiMuXWStNtdwwX-iGxQQPhwRKnX9FXIogC5NhYTBmEr-iuMFXkLvVP7M1w,,,,,,,,,,,,,
9,2024,United States,"Amanda D. Damiano 
Eitel J. M. Lauría 
Christian Sarmiento
Ningjing Zhao",Early Perceptions of Teaching and Learning Using Generative AI in Higher Education,"Investigates early perceptions of ChatGPT among students and faculty in higher education, focusing on its implications for teaching and learning.",Higher education institutions in the United States.,"Online survey with 380 participants, analyzed using Diffusion of Innovation theory and the Technology Acceptance Model.","Findings are based on self-reported data, which may introduce bias.","Participants are hesitant to use ChatGPT for plagiarism but believe others might; over half misjudged the accuracy of ChatGPT's outputs, indicating a need for improved data literacy.","Damiano, A. D., Lauría, E. J. M., Sarmiento, C., & Zhao, N. (2024). Early perceptions of teaching and learning using Generative AI in higher education. Journal of Educational Technology Systems, 52(3), 346–375. https://doi.org/10.1177/00472395241233290 ",https://journals.sagepub.com/doi/abs/10.1177/00472395241233290,,,,,,,,,,,,,
10,2024,Palestine,Reham Salhab,AI Literacy across Curriculum Design: Investigation College Instructors' Perspectives,Investigates college instructors' perspectives on integrating AI literacy into curriculum design.,Palestine Technical University Kadoorie.,Mixed-method approach with a 14-item questionnaire and 17 semi-structured interviews across nine departments.,Focuses on a single institution; results may not generalize broadly.,Instructors perceive AI literacy in the curriculum as weak; themes include positive and negative perspectives and a willingness to integrate AI literacy.,"Salhab, R. (2024). Ai literacy across Curriculum Design: Investigation College Instructor’s perspectives. Online Learning, 28(2). https://doi.org/10.24059/olj.v28i2.4426 ",https://eric.ed.gov/?id=EJ1428258,,,,,,,,,,,,,
11,2023,China,Hao Yu ,Reflection on whether Chat GPT should be banned by academia from the perspective of education and teaching ,"Reflects on the debate over banning ChatGPT in academia, analyzing its educational benefits and challenges.",Higher education institutions in China.,Literature review and theoretical analysis.,Lacks empirical data; conclusions are based on existing literature.,"Advocates for integrating ChatGPT into education with appropriate guidance, rather than imposing bans.","Yu, H. (2023). Reflection on whether chat GPT should be banned by academia from the perspective of education and teaching. Frontiers in Psychology, 14. https://doi.org/10.3389/fpsyg.2023.1181712 ",https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2023.1181712/full,,,,,,,,,,,,,
12,2023,Japan,"Bonner, E., Lege, R., & Frazier, E. ",LARGE LANGUAGE MODEL-BASED ARTIFICIAL INTELLIGENCE IN THE LANGUAGE CLASSROOM: PRACTICAL IDEAS FOR TEACHING ,"Explores the application of large language models (LLMs) like ChatGPT in language education, offering practical teaching strategies.",Language classrooms in Japan.,"Provides examples and explanations of LLM integration in materials development, classroom activities, and feedback mechanisms.",Focuses on English language teaching; applicability to other languages may vary.,"LLMs can streamline teaching processes and personalize instruction, enhancing learner engagement.","Bonner, E., Lege, R., & Frazier, E. (2023). Large language model-based artificial intelligence in the language classroom: Practical ideas for teaching. Teaching English With Technology, 2023(1). https://doi.org/10.56297/bkam1691/wieo1749 ",https://www.ceeol.com/search/article-detail?id=1167809,,,,,,,,,,,,,
13,2023,Bulgaria,Gabriela Kiryakova and Nadezhda Angelova,ChatGPT—A Challenging Tool for the University Professors in Their Teaching Practice,"Explores university professors' perceptions of ChatGPT's impact on teaching practices, highlighting both benefits and challenges.",Higher education institutions in Bulgaria.,Surveyed 50 university professors using a structured questionnaire.,Small sample size; findings may not be broadly generalizable.,Professors recognize ChatGPT's potential to enhance teaching but express concerns about academic integrity and the need for proper training.,"Kiryakova, G., & Angelova, N. (2023). Chatgpt—a challenging tool for the university professors in their teaching practice. Education Sciences, 13(10), 1056. https://doi.org/10.3390/educsci13101056 ",https://www.mdpi.com/2227-7102/13/10/1056,,,,,,,,,,,,,
14,2023,"Malaysia, Taiwan","Zong Yang Kong, Vincentius Kurnia Adi, Juan Gabriel Segivia-Hernandez, Jaka Sunarso",Complementary role of large language models in educating undergraduate design of distillation column: Methodology development ,"Explores integrating LLMs in teaching distillation column design for undergraduates, enhancing learning and problem-solving.",Chemical engineering programs in three countries.,Hybrid approach combining LLMs with traditional methods.,Focused on distillation column design only.,LLMs improve personalized learning and feedback in engineering education.,"Kong, Z. Y., Adi, V. S., Segovia-Hernández, J. G., & Sunarso, J. (2023). Complementary role of large language models in educating undergraduate design of distillation column: Methodology development. Digital Chemical Engineering, 9, 100126. https://doi.org/10.1016/j.dche.2023.100126 ",https://www.sciencedirect.com/science/article/pii/S2772508123000443?via%3Dihub,,,,,,,,,,,,,
15,2023,United States,"Punya Mishra, Melissa Warr, Rezwana Islam",TPACK in the age of ChatGPT and Generative AI,"Explores the integration of ChatGPT and generative AI within the Technological Pedagogical Content Knowledge (TPACK) framework, analyzing their impact on teaching and learning.",Teacher education programs in the United States.,Conceptual analysis of TPACK components in relation to generative AI technologies.,Theoretical exploration without empirical data.,"Incorporating generative AI into TPACK enhances educators' ability to design effective, technology-integrated instruction.","Mishra, P., Warr, M., & Islam, R. (2023). TPACK in the age of ChatGPT and generative AI. Journal of Digital Learning in Teacher Education, 39(4), 235-251. https://doi.org/10.1080/21532974.2023.2247480",https://www.tandfonline.com/doi/full/10.1080/21532974.2023.2247480?casa_token=jzYPfQIHiEAAAAAA%3ANDhYnkB4SpRZ00IoxWBIADbx_USS7JliHtNp9ng3FI2QobVoajTkYFLqZkH92hSKvkag43RcUsaNvC4,,,,,,,,,,,,,
16,2023,Ireland,"M. Avgerinou, Antonios Karampelas, Vassilia Stefanou",Building the Plane as We Fly It: Experimenting with GenAI for Scholarly Writing,"Explores the integration of Generative AI (GenAI) in scholarly writing, examining its potential to enhance academic productivity and quality.",Higher education institutions in Ireland.,Case studies and experimental use of GenAI tools in academic writing processes.,Limited to specific case studies; broader applicability may vary.,"GenAI can assist in scholarly writing, but human oversight is essential to ensure accuracy and integrity.","Avgerinou, M., Karampelas, A., & Stefanou, V. (2023). Building the Plane as We Fly It: Experimenting with GenAI for Scholarly Writing. Irish Journal of Technology Enhanced Learning. https://doi.org/10.22554/ijtel.v7i2.128.",https://journal.ilta.ie/index.php/telji/article/view/128,,,,,,,,,,,,,
17,2023,United States,"Subash Neupane, Ivan A. Fernandez, Sudip Mittal, Shahram Rahimi",Impacts and Risk of Generative AI Technology on Cyber Defense,"Analyzes the risks generative AI poses to cyber defense, using the Cyber Kill Chain framework to assess potential threats and propose adaptive defense strategies.",Cybersecurity landscape in the United States.,Theoretical analysis applying the Cyber Kill Chain to generative AI-induced threats.,Conceptual study without empirical validation.,Generative AI can be exploited at various stages of cyberattacks; adaptive defense mechanisms are essential.,"Neupane, S., Fernandez, I., Mittal, S., & Rahimi, S. (2023). Impacts and Risk of Generative AI Technology on Cyber Defense. ArXiv, abs/2306.13033. https://doi.org/10.48550/arXiv.2306.13033.",https://arxiv.org/abs/2306.13033,,,,,,,,,,,,,
18,2023,United Kingdom,"Yongquan Hu, Dawen Zhang, Aaron Quigley",GenAIR: Exploring Design Factor of Employing Generative AI for Augmented Reality,"Explores integrating Generative AI into Augmented Reality (AR) design, identifying key factors influencing user experience and system performance.",AR applications in the United Kingdom.,Experimental studies evaluating user interactions with AI-enhanced AR systems.,Focuses on specific AR applications; findings may not generalize across all AR contexts.,Effective integration of Generative AI in AR requires careful consideration of design factors to enhance user engagement and system efficiency.,"Hu, Y., Zhang, D., & Quigley, A. (2023). GenAIR: Exploring Design Factor of Employing Generative AI for Augmented Reality. Proceedings of the 2023 ACM Symposium on Spatial User Interaction. https://doi.org/10.1145/3607822.3618018.",https://dl.acm.org/doi/abs/10.1145/3607822.3618018,,,,,,,,,,,,,
19,2023,United States,"Maanak Gupta, Charankumar Akiri, K. Aryal, Elisabeth Parker, Lopamudra Praharaj",From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,"Analyzes the dual role of Generative AI (GenAI) in cybersecurity, highlighting its potential for both enhancing defenses and facilitating cyberattacks. The study examines vulnerabilities in models like ChatGPT, including susceptibility to jailbreaks and prompt injection attacks, and discusses how adversaries might exploit GenAI for social engineering, phishing, and malware creation. It also explores defensive applications, such as automated threat detection and secure code generation, while addressing the social, legal, and ethical implications of GenAI in cybersecurity.",Cybersecurity landscape in the United States.,"Comprehensive review of GenAI applications in cybersecurity, supported by case studies and theoretical analysis.",Primarily theoretical; lacks empirical validation.,"GenAI presents both opportunities and risks in cybersecurity, necessitating robust ethical guidelines and adaptive defense strategies.","Gupta, M., Akiri, C., Aryal, K., Parker, E., & Praharaj, L. (2023). From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy. IEEE Access, 11, 80218-80245. https://doi.org/10.1109/ACCESS.2023.3300381.",https://ieeexplore.ieee.org/abstract/document/10198233,,,,,,,,,,,,,
20,2023,United States,"Jie Li, Hancheng Cao, Laura Lin, Youyang Hou, Ruihao Zhu, Abdallah El Ali",User Experience Design Professionals' Perceptions of Generative Artificial Intelligence,"Investigates how User Experience (UX) designers perceive Generative Artificial Intelligence (GenAI) and its impact on their practice. Through interviews with 20 UX designers from various companies, the study reveals that experienced designers view GenAI as an assistive tool, emphasizing the importance of human creativity and empathy. However, concerns are raised about potential skill degradation and job displacement among junior designers. The research discusses implications for human-GenAI collaboration, including issues of copyright, creativity, and AI literacy.",UX design professionals in the United States.,Conducted interviews with 20 UX designers across startups and large enterprises to gather qualitative insights.,Limited sample size and geographic focus may affect the generalizability of the findings.,"Experienced designers view GenAI as a supportive tool, while junior designers express concerns about skill erosion and job security.","Li, J., Cao, H., Lin, L., Hou, Y., Zhu, R., & Ali, A. (2023). User Experience Design Professionals' Perceptions of Generative Artificial Intelligence. ArXiv, abs/2309.15237. https://doi.org/10.48550/arXiv.2309.15237.",https://dl.acm.org/doi/full/10.1145/3613904.3642114,,,,,,,,,,,,,
21,2023,Ireland,Hazel Farrell,Pseudo-Research: A Fabricated Study on Student Engagement in Music Pedagogy,"This article presents a fabricated study on student engagement in music pedagogy, created using ChatGPT. It aims to highlight the potential misuse of AI in generating pseudo-research and discusses the implications for academic integrity.","The study is set within the realm of music education, focusing on the ethical considerations of AI-generated content in academic research.","The author utilized ChatGPT to generate a fictitious research article, then analyzed the process and outcomes to discuss the ethical implications.","As a fabricated study, the findings are not based on empirical data and serve solely to illustrate the potential for AI misuse.",The article underscores the necessity for stringent ethical guidelines and critical evaluation of AI-generated content to maintain academic integrity.,"Farrell, H. (2023). Pseudo-Research: A Fabricated Study on Student Engagement in Music Pedagogy. Irish Journal of Technology Enhanced Learning. https://doi.org/10.22554/ijtel.v7i2.145.",https://journal.ilta.ie/index.php/telji/article/view/145,,,,,,,,,,,,,
22,2023,Australia and Sri Lanka,"Pethigamage Perera, M. Lankathilake",Preparing to Revolutionize Education with the Multi-Model GenAI Tool Google Gemini? A Journey towards Effective Policy Making,"Explores the integration of Google's multimodal Generative AI tool, Gemini, into higher education, offering policy recommendations for stakeholders.",Higher education institutions in Australia and Sri Lanka.,Literature review and analysis of AI integration strategies.,Theoretical approach; lacks empirical data.,"Effective AI integration requires collaborative policy development among governments, educators, and developers.","Perera, P., & Lankathilake, M. (2023). Preparing to Revolutionize Education with the Multi-Model GenAI Tool Google Gemini? A Journey towards Effective Policy Making. Journal of Advances in Education and Philosophy. https://doi.org/10.36348/jaep.2023.v07i08.001.",https://acquire.cqu.edu.au/articles/journal_contribution/Preparing_to_Revolutionize_Education_with_the_Multi-Model_GenAI_Tool_Google_Gemini_A_Journey_towards_Effective_Policy_Making/26181833?file=47437514,,,,,,,,,,,,,
23,2023,Australia,Kim Taylor,Supporting students and educators in using generative artificial intelligence,"Discusses RMIT University's initiatives to guide students and educators in responsibly integrating generative AI tools into academic work, emphasizing academic integrity and proper referencing.","Higher education at RMIT University, Australia.",Development of AI usage guidelines and referencing standards.,Institution-specific; may not apply universally.,Structured guidance on AI tool usage enhances academic integrity and prepares students for AI-integrated workplaces.,"Taylor, K. (2023). Supporting students and educators in using generative artificial intelligence. ASCILITE Publications. https://doi.org/10.14742/apubs.2023.538.",https://publications.ascilite.org/index.php/APUB/article/view/538,,,,,,,,,,,,,
24,2023,Canada,Bonnie Stewart,GenAI on GenAI: Two Prompts for a Position Paper on What Educators Need to Know,"Explores the implications of generative AI (GenAI) in education, emphasizing the need for educators to understand its capabilities and limitations.",Higher education institutions in Canada.,Reflective analysis based on two AI-generated prompts discussing GenAI's role in education.,Theoretical exploration without empirical data.,Educators must engage with GenAI to effectively integrate it into teaching practices.,"Stewart, B. (2023). GenAI on GenAI: Two Prompts for a Position Paper on What Educators Need to Know. Irish Journal of Technology Enhanced Learning. https://doi.org/10.22554/ijtel.v7i2.140.",https://journal.ilta.ie/index.php/telji/article/view/140,,,,,,,,,,,,,
